INCMIN,DRUGDEP,SEXPRED
-0.177112275036,1.0,1.0
-0.242042592195,1.0,1.0
10.7666984462,1.0,1.0
0.388946900203,1.0,1.0
-0.143814676492,1.0,1.0
-0.2762281267,1.0,1.0
10.7666984462,1.0,1.0
-0.166013075521,1.0,1.0
-0.243707472122,1.0,1.0
-0.2762281267,1.0,1.0
-0.177112275036,1.0,1.0
-0.210409873579,-1.0,1.0
-0.2762281267,1.0,1.0
-0.221953041074,1.0,1.0
-0.269013647015,1.0,1.0
-0.2762281267,1.0,1.0
-0.271566462904,1.0,1.0
-0.149364276249,1.0,1.0
-0.258802383462,1.0,1.0
-0.210409873579,1.0,1.0
-0.243707472122,1.0,1.0
-0.149364276249,1.0,1.0
-0.2762281267,1.0,1.0
-0.149364276249,1.0,1.0
-0.265905871151,1.0,1.0
-0.210409873579,1.0,1.0
0.388946900203,1.0,1.0
-0.0772194794052,1.0,1.0
-0.2762281267,1.0,1.0
-0.269679598986,1.0,1.0
-0.254806671637,1.0,1.0
-0.232608272608,1.0,1.0
-0.2762281267,-1.0,1.0
-0.18821147455,1.0,1.0
-0.149364276249,1.0,1.0
-0.210409873579,1.0,1.0
-0.210409873579,-1.0,1.0
-0.2762281267,1.0,1.0
-0.210409873579,1.0,1.0
-0.110517077949,-1.0,1.0
-0.149364276249,1.0,1.0
-0.254806671637,1.0,1.0
-0.210409873579,-1.0,1.0
-0.254806671637,1.0,1.0
-0.210409873579,1.0,1.0
-0.243707472122,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.269679598986,1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
-0.262465119302,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.0106242823183,1.0,1.0
-0.243707472122,1.0,1.0
-0.260245279399,1.0,1.0
-0.221509073093,1.0,1.0
-0.2762281267,1.0,1.0
-0.271566462904,1.0,1.0
-0.177112275036,1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.265905871151,1.0,1.0
-0.265905871151,1.0,1.0
-0.18821147455,-1.0,1.0
-0.210409873579,1.0,1.0
-0.18821147455,-1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,1.0,1.0
0.189161308942,1.0,1.0
-0.265905871151,1.0,1.0
-0.149364276249,1.0,1.0
-0.2762281267,1.0,1.0
-0.254806671637,1.0,1.0
-0.2762281267,1.0,1.0
-0.210409873579,1.0,1.0
-0.267903727064,1.0,1.0
-0.265905871151,1.0,1.0
-0.26135519935,1.0,1.0
-0.2762281267,1.0,1.0
-0.243707472122,1.0,1.0
-0.243707472122,1.0,1.0
-0.149364276249,1.0,1.0
-0.149364276249,1.0,1.0
-0.2762281267,1.0,1.0
-0.143814676492,1.0,1.0
-0.210409873579,-1.0,1.0
-0.265905871151,1.0,1.0
-0.210409873579,1.0,1.0
-0.071669879648,1.0,1.0
-0.210409873579,1.0,1.0
-0.166013075521,1.0,1.0
-0.149364276249,1.0,1.0
-0.258802383462,1.0,1.0
0.122566111855,-1.0,1.0
-0.271566462904,1.0,1.0
-0.143814676492,1.0,1.0
-0.254806671637,1.0,1.0
-0.243707472122,1.0,1.0
-0.143814676492,1.0,1.0
-0.2762281267,1.0,1.0
-0.232608272608,1.0,1.0
-0.2762281267,1.0,1.0
-0.275562174729,1.0,1.0
-0.274785230763,-1.0,1.0
-0.243707472122,1.0,1.0
-0.243707472122,1.0,1.0
-0.0439218808618,1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
-0.243707472122,1.0,1.0
-0.0439218808618,1.0,1.0
-0.18821147455,-1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
-0.166013075521,1.0,1.0
-0.269013647015,1.0,1.0
-0.254806671637,1.0,1.0
-0.149364276249,1.0,1.0
-0.210409873579,1.0,1.0
-0.177112275036,1.0,1.0
-0.149364276249,1.0,1.0
-0.243707472122,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.265905871151,1.0,1.0
-0.260578255384,1.0,1.0
-0.210409873579,-1.0,1.0
-0.149364276249,1.0,1.0
-0.265905871151,1.0,1.0
-0.149364276249,1.0,1.0
-0.271566462904,1.0,1.0
-0.275562174729,1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,1.0,1.0
-0.149364276249,-1.0,1.0
0.255756506029,1.0,1.0
-0.210409873579,-1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.254806671637,-1.0,1.0
-0.263131071273,1.0,1.0
-0.232608272608,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.265905871151,1.0,1.0
-0.269679598986,1.0,1.0
-0.275562174729,1.0,1.0
-0.243707472122,-1.0,1.0
-0.2762281267,1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
10.7666984462,1.0,1.0
-0.265350911176,1.0,1.0
-0.232608272608,1.0,1.0
-0.2762281267,1.0,1.0
-0.275562174729,1.0,1.0
-0.265905871151,1.0,1.0
-0.265905871151,1.0,1.0
-0.265905871151,-1.0,1.0
-0.177112275036,1.0,1.0
-0.243707472122,1.0,1.0
-0.254806671637,1.0,1.0
0.211359707971,1.0,1.0
-0.265905871151,1.0,1.0
-0.254806671637,-1.0,1.0
-0.143814676492,1.0,1.0
-0.143814676492,1.0,1.0
-0.144147652478,1.0,1.0
-0.254029727671,1.0,1.0
-0.265905871151,1.0,1.0
-0.232608272608,1.0,1.0
-0.221509073093,1.0,1.0
-0.265905871151,1.0,1.0
-0.210409873579,1.0,1.0
-0.275229198744,1.0,1.0
-0.210409873579,1.0,1.0
-0.221509073093,1.0,1.0
-0.177112275036,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.149364276249,1.0,-1.0
-0.2762281267,1.0,1.0
-0.0106242823183,1.0,1.0
-0.210409873579,1.0,1.0
-0.149364276249,1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
-0.149364276249,1.0,1.0
-0.144258644473,1.0,1.0
-0.210409873579,1.0,1.0
1.05489887107,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.199310674065,1.0,1.0
-0.265905871151,1.0,1.0
-0.271566462904,1.0,1.0
-0.2762281267,1.0,1.0
10.7666984462,1.0,1.0
-0.177112275036,1.0,1.0
-0.232608272608,1.0,1.0
-0.177112275036,1.0,1.0
0.255756506029,1.0,1.0
-0.265905871151,1.0,1.0
-0.23438414453,1.0,1.0
-0.149364276249,1.0,1.0
-0.265905871151,1.0,1.0
-0.265905871151,-1.0,1.0
-0.243707472122,1.0,1.0
-0.243707472122,1.0,1.0
-0.260578255384,1.0,1.0
-0.149364276249,1.0,1.0
-0.243707472122,1.0,1.0
0.0551939708025,1.0,1.0
-0.2762281267,1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.232608272608,1.0,1.0
-0.144147652478,1.0,1.0
-0.221509073093,1.0,1.0
-0.232608272608,1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
1.05489887107,1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
-0.199310674065,1.0,1.0
-0.210409873579,1.0,1.0
-0.271566462904,1.0,1.0
-0.2762281267,1.0,1.0
-0.265905871151,1.0,1.0
-0.275562174729,1.0,1.0
-0.243707472122,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.149364276249,1.0,1.0
-0.2762281267,1.0,1.0
-0.243707472122,1.0,1.0
-0.254806671637,1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.275562174729,1.0,1.0
-0.217513361268,-1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,1.0,1.0
-0.177112275036,1.0,1.0
-0.2762281267,1.0,1.0
-0.149364276249,1.0,1.0
-0.2762281267,1.0,1.0
-0.220066177157,1.0,1.0
-0.269679598986,1.0,1.0
0.189161308942,1.0,1.0
-0.144147652478,1.0,1.0
-0.243707472122,1.0,1.0
-0.275895150714,1.0,1.0
-0.271122494923,1.0,1.0
0.388946900203,1.0,1.0
-0.243818464118,1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,-1.0,1.0
-0.270789518938,1.0,1.0
-0.210409873579,1.0,1.0
-0.143814676492,1.0,1.0
-0.177112275036,1.0,1.0
-0.273342334826,1.0,1.0
0.255756506029,1.0,1.0
-0.262798095287,1.0,1.0
-0.2762281267,1.0,1.0
-0.254806671637,1.0,1.0
-0.271566462904,1.0,1.0
-0.274785230763,1.0,1.0
-0.177112275036,1.0,1.0
-0.26501793519,1.0,1.0
-0.210409873579,1.0,1.0
-0.143814676492,1.0,1.0
-0.210409873579,1.0,1.0
0.0226733162251,1.0,1.0
-0.2762281267,1.0,1.0
-0.0106242823183,-1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.143814676492,-1.0,1.0
1.05489887107,1.0,1.0
-0.210409873579,-1.0,1.0
-0.0772194794052,1.0,1.0
-0.262465119302,1.0,1.0
-0.243707472122,1.0,1.0
-0.199310674065,1.0,1.0
-0.274452254778,1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
-0.177112275036,1.0,1.0
-0.2762281267,1.0,1.0
-0.271899438889,1.0,1.0
-0.0106242823183,1.0,1.0
-0.247148223972,1.0,1.0
-0.227724624822,1.0,1.0
-0.177112275036,1.0,1.0
-0.270123566967,1.0,1.0
-0.2762281267,1.0,1.0
-0.221509073093,1.0,1.0
-0.221509073093,1.0,1.0
-0.265905871151,1.0,1.0
-0.0439218808618,-1.0,1.0
-0.271566462904,1.0,1.0
-0.0106242823183,1.0,1.0
-0.2762281267,1.0,1.0
-0.2762281267,1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,-1.0,1.0
-0.143814676492,1.0,1.0
-0.274452254778,1.0,1.0
-0.149364276249,-1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
-0.210409873579,1.0,1.0
-0.2762281267,1.0,1.0
-0.149364276249,1.0,1.0
-0.275229198744,1.0,1.0
-0.275229198744,-1.0,1.0
-0.149364276249,1.0,1.0
-0.0106242823183,1.0,1.0
-0.149364276249,1.0,1.0
-0.243707472122,1.0,1.0
-0.262465119302,1.0,1.0
-0.265905871151,1.0,1.0
-0.210409873579,-1.0,1.0
-0.177112275036,1.0,1.0
-0.149364276249,1.0,1.0
-0.243707472122,1.0,1.0
-0.275229198744,-1.0,1.0
-0.143814676492,1.0,1.0
-0.143814676492,1.0,1.0
-0.149364276249,1.0,1.0
-0.243707472122,1.0,1.0
-0.226725696865,1.0,1.0
-0.110517077949,1.0,1.0
-0.154913876007,-1.0,1.0
-0.144258644473,-1.0,1.0
-0.273342334826,1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
-0.0106242823183,1.0,1.0
-0.254806671637,1.0,1.0
-0.210409873579,1.0,1.0
-0.221509073093,1.0,1.0
-0.232608272608,1.0,1.0
-0.264240991224,1.0,1.0
-0.210409873579,1.0,1.0
-0.241265648229,1.0,1.0
-0.210409873579,-1.0,1.0
-0.149364276249,1.0,1.0
-0.268236703049,1.0,1.0
-0.221509073093,1.0,1.0
0.655327688551,1.0,1.0
-0.271566462904,1.0,1.0
-0.273342334826,1.0,1.0
-0.271566462904,1.0,1.0
-0.265905871151,1.0,1.0
-0.225171808933,1.0,1.0
-0.110517077949,1.0,1.0
0.0559709147686,1.0,1.0
-0.143814676492,1.0,1.0
-0.243707472122,1.0,1.0
-0.210409873579,1.0,1.0
-0.258802383462,1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,-1.0,1.0
-0.265905871151,1.0,1.0
-0.243707472122,1.0,1.0
-0.149364276249,1.0,1.0
-0.143814676492,1.0,1.0
-0.238379856355,1.0,1.0
-0.2762281267,1.0,1.0
-0.110517077949,1.0,1.0
-0.243707472122,1.0,1.0
-0.2762281267,1.0,1.0
-0.243707472122,1.0,1.0
-0.265905871151,1.0,1.0
-0.275562174729,1.0,1.0
-0.149364276249,1.0,1.0
-0.210409873579,1.0,1.0
-0.143814676492,-1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.210409873579,-1.0,1.0
-0.143814676492,1.0,1.0
-0.275229198744,-1.0,1.0
-0.264240991224,1.0,1.0
-0.149364276249,1.0,1.0
-0.2762281267,1.0,1.0
-0.275229198744,1.0,1.0
-0.149364276249,1.0,1.0
0.122566111855,1.0,1.0
-0.0772194794052,1.0,1.0
-0.143814676492,1.0,1.0
-0.210409873579,1.0,1.0
-0.0772194794052,1.0,1.0
-0.275229198744,1.0,1.0
-0.243707472122,1.0,1.0
-0.0772194794052,1.0,1.0
-0.210409873579,1.0,1.0
-0.0772194794052,1.0,1.0
-0.275229198744,1.0,1.0
-0.274785230763,1.0,1.0
-0.220510145137,1.0,1.0
-0.274452254778,1.0,1.0
-0.144147652478,1.0,1.0
-0.210409873579,1.0,1.0
-0.2762281267,1.0,1.0
-0.247481199957,1.0,1.0
-0.210409873579,1.0,1.0
-0.210409873579,1.0,1.0
-0.243707472122,1.0,1.0
-0.199310674065,1.0,1.0
-0.0772194794052,1.0,1.0
-0.265905871151,1.0,1.0
-0.254806671637,1.0,1.0
-0.18821147455,1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.210409873579,1.0,1.0
-0.149364276249,1.0,1.0
0.0559709147686,1.0,1.0
-0.143814676492,-1.0,1.0
-0.210409873579,1.0,1.0
-0.243707472122,1.0,1.0
-0.210409873579,1.0,1.0
-0.271566462904,1.0,1.0
-0.265905871151,1.0,1.0
-0.273342334826,1.0,1.0
-0.0328226813473,1.0,1.0
-0.265905871151,1.0,1.0
-0.210409873579,1.0,1.0
-0.265905871151,1.0,1.0
0.0559709147686,1.0,1.0
-0.177112275036,1.0,1.0
-0.210409873579,1.0,1.0
-0.221509073093,1.0,1.0
-0.143814676492,1.0,1.0
-0.262465119302,1.0,1.0
-0.243707472122,1.0,1.0
-0.2762281267,1.0,1.0
-0.262465119302,1.0,1.0
-0.264240991224,1.0,1.0
-0.2762281267,-1.0,1.0
-0.149364276249,1.0,1.0
-0.243707472122,1.0,1.0
-0.210409873579,1.0,1.0
-0.254806671637,1.0,1.0
-0.243707472122,-1.0,1.0
-0.273342334826,1.0,1.0
-0.2762281267,1.0,1.0
-0.210409873579,1.0,1.0
-0.2762281267,1.0,1.0
-0.254806671637,1.0,1.0
-0.210409873579,1.0,1.0
-0.2762281267,1.0,1.0
-0.143814676492,-1.0,1.0
-0.210409873579,-1.0,1.0
-0.265905871151,1.0,1.0
-0.2762281267,1.0,1.0
-0.149364276249,-1.0,1.0
-0.210409873579,1.0,1.0
-0.110517077949,1.0,1.0
